GeoNameId,Name,Country,Latitude,Longitude
292968,Abu Dhabi,AE,24.46667,54.36667
2352778,Abuja,NG,9.05735,7.48976
2306104,Accra,GH,5.55602,-0.1969
4030723,Adamstown,PN,-25.06597,-130.10147
344979,Addis Ababa,ET,9.02497,38.74689
2507480,Algiers,DZ,36.7525,3.04197
4036284,Alofi,NU,-19.05952,-169.91867
250441,Amman,JO,31.95522,35.94503
2759794,Amsterdam,NL,52.37403,4.88969
3041563,Andorra la Vella,AD,42.50779,1.52109
323786,Ankara,TR,39.91987,32.85427
1070940,Antananarivo,MG,-18.91433,47.53098
4035413,Apia,WS,-13.83333,-171.76666
162183,Ashgabat,TM,37.95,58.38333
343300,Asmara,ER,15.33333,38.93333
1526273,Astana,KZ,51.1801,71.44598
3439389,Asunción,PY,-25.30066,-57.63591
264371,Athens,GR,37.97945,23.71622
4035715,Avarua,CK,-21.20778,-159.775
98182,Baghdad,IQ,33.34058,44.40088
587084,Baku,AZ,40.37767,49.89201
2460596,Bamako,ML,12.65,-8
1820906,Bandar Seri Begawan,BN,4.94029,114.94806
1609350,Bangkok,TH,13.75,100.51667
2389853,Bangui,CF,4.36122,18.55496
2413876,Banjul,GM,13.45274,-16.57803
3575551,Basseterre,KN,17.29484,-62.7261
3579732,Basse-Terre,GP,15.99854,-61.72548
1816670,Beijing,CN,39.9075,116.39723
276781,Beirut,LB,33.88894,35.49442
792680,Belgrade,RS,44.80401,20.46513
3582672,Belmopan,BZ,17.25,-88.76667
2950159,Berlin,DE,52.52437,13.41053
2661552,Bern,CH,46.94809,7.44744
1528675,Bishkek,KG,42.87306,74.60028
2374775,Bissau,GW,11.85,-15.58333
3688689,Bogotá,CO,4.60971,-74.08175
3469058,Brasília,BR,-15.77972,-47.92972
3060972,Bratislava,SK,48.14816,17.10674
2260535,Brazzaville,CG,-4.2669,15.28327
3374036,Bridgetown,BB,13.1,-59.61667
2800866,Brussels,BE,50.85045,4.34878
683506,Bucuresti,RO,44.43225,26.10626
3054643,Budapest,HU,47.49801,19.03991
3435910,Buenos Aires,AR,-34.61315,-58.37723
425378,Bujumbura,BI,-3.37611,29.36
360630,Cairo,EG,30.06263,31.24967
2172517,Canberra,AU,-35.28346,149.12807
3646738,Caracas,VE,10.5,-66.91667
3576812,Castries,LC,13.9957,-61.00614
3382160,Cayenne,GF,4.93333,-52.33333
4795467,Charlotte Amalie,VI,18.3419,-64.9307
618426,Chisinau,MD,47.00556,28.8575
3576994,Cockburn Town,TC,21.46122,-71.14188
1248991,Colombo,LK,6.93194,79.84778
2422465,Conakry,GN,9.53795,-13.67729
2618425,Copenhagen,DK,55.67594,12.56553
2253354,Dakar,SN,14.6937,-17.44406
170654,Damascus,SY,33.5102,36.29128
1185241,Dhaka,BD,23.7104,90.40744
1645457,Dili,TL,-8.55861,125.57361
223817,Djibouti,DJ,11.58767,43.14468
160196,Dodoma,TZ,-6.17486,35.73792
290030,Doha,QA,25.27932,51.52245
3042237,Douglas,IM,54.15,-4.48333
2964574,Dublin,IE,53.34399,-6.26719
1221874,Dushanbe,TJ,38.53575,68.77905
2078127,Flying Fish Cove,CX,-10.42172,105.67912
3570675,Fort-de-France,MQ,14.60892,-61.07334
2409306,Freetown,SL,8.484,-13.22994
2110394,Funafuti,TV,-8.52425,179.19417
933773,Gaborone,BW,-24.65451,25.90859
3580661,George Town,KY,19.28692,-81.36706
3378644,Georgetown,GY,6.80448,-58.15527
2411585,Gibraltar,GI,36.14474,-5.35257
3426466,Grytviken,GS,-54.28111,-36.5092
3598132,Guatemala City,GT,14.64072,-90.51327
3579132,Gustavia,BL,17.89618,-62.84978
1581130,Hanoi,VN,21.0245,105.84117
4044012,Hagåtña,GU,13.47417,144.74778
3573197,Hamilton,BM,32.29149,-64.77797
890299,Harare,ZW,-17.82935,31.05389
3553478,Havana,CU,23.13302,-82.38304
658225,Helsinki,FI,60.16952,24.93545
1819729,Hong Kong,HK,22.28552,114.15769
2108502,Honiara,SB,-9.43333,159.95
1176615,Islamabad,PK,33.72148,73.04329
1642911,Jakarta,ID,-6.21462,106.84513
3370903,Jamestown,SH,-15.93872,-5.71675
1138958,Kabul,AF,34.52813,69.17233
232422,Kampala,UG,0.31628,32.58219
